epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,104.028,1.42931,1.92008,1.48037,0.62771,0.54642,0.56978,0.27677,1.67605,1.38482,1.55531,0.00995455,0.00331818,0.00995455,0.00331818,0.00995455,0.00331818,0.00995455,0.00331818
2,193.045,1.29822,1.35985,1.35818,0.6499,0.48589,0.54302,0.2494,1.85628,1.5287,1.683,0.0198755,0.00662518,0.0198755,0.00662518,0.0198755,0.00662518,0.0198755,0.00662518
3,276.523,1.35622,1.45252,1.39444,0.58694,0.44149,0.47766,0.2197,1.90626,1.93653,1.75509,0.0297173,0.00990577,0.0297173,0.00990577,0.0297173,0.00990577,0.0297173,0.00990577
4,357.725,1.39205,1.52338,1.42606,0.56062,0.38707,0.40716,0.18993,2.00636,1.83437,1.92578,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
5,440.572,1.37505,1.50414,1.43447,0.58551,0.44484,0.46201,0.20753,2.02755,1.83406,1.90499,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
6,523.757,1.35147,1.42282,1.4122,0.58664,0.46704,0.46759,0.22715,1.87946,1.8396,1.79621,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
7,610.362,1.32032,1.36392,1.38904,0.61563,0.48003,0.51768,0.25014,1.90616,1.5238,1.83986,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
8,690.56,1.29756,1.29372,1.36839,0.67534,0.56215,0.5753,0.27131,1.83226,1.38068,1.76169,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
9,769.134,1.27183,1.26064,1.3542,0.68803,0.55252,0.59497,0.28872,1.80947,1.32111,1.72751,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
10,845.478,1.25869,1.22301,1.34655,0.76755,0.56055,0.61937,0.30169,1.77311,1.229,1.70312,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
11,923.048,1.24577,1.18789,1.33998,0.70521,0.53575,0.57368,0.28605,1.76977,1.27829,1.71427,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
12,1002.76,1.22856,1.16016,1.32721,0.75708,0.57155,0.63177,0.30683,1.73998,1.20408,1.65403,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
13,1085.03,1.21577,1.12795,1.31805,0.76244,0.56349,0.61012,0.32164,1.74779,1.22961,1.66831,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
14,1163.16,1.19852,1.08651,1.30023,0.80693,0.53846,0.61965,0.30265,1.82329,1.1679,1.73068,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
15,1241.36,1.18682,1.06846,1.29275,0.73868,0.58199,0.62652,0.31373,1.77198,1.12739,1.69544,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
16,1319.18,1.17914,1.05149,1.28809,0.82227,0.5918,0.65709,0.33649,1.7317,1.08821,1.65138,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
17,1397.41,1.16184,1.02395,1.27648,0.83327,0.62715,0.70325,0.36844,1.66147,1.02699,1.58737,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
18,1476.08,1.15704,1.00475,1.2683,0.80366,0.59466,0.66099,0.32115,1.76319,1.07475,1.68311,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
19,1554.02,1.13917,0.99434,1.2667,0.80077,0.61821,0.68195,0.35173,1.69118,1.05208,1.61056,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
20,1632.16,1.13655,0.96602,1.25413,0.72555,0.5868,0.6119,0.29917,1.86094,1.17694,1.74221,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
