epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.653,1.39536,2.792,1.49151,0.49773,0.32693,0.351,0.16448,1.84908,2.13857,1.81438,0.00023654,0.00023654,0.00023654
2,43.4478,1.2919,1.8287,1.43611,0.53853,0.46864,0.43313,0.18673,1.94693,1.89391,1.92539,0.00047193,0.00047193,0.00047193
3,62.234,1.25615,1.64931,1.40712,0.52356,0.47819,0.45949,0.18729,1.99575,1.80116,1.97462,0.000704702,0.000704702,0.000704702
4,81.4992,1.23347,1.56703,1.38152,0.62974,0.46951,0.4975,0.21534,2.0513,1.78684,2.0658,0.000702219,0.000702219,0.000702219
5,100.767,1.20677,1.48833,1.35968,0.67796,0.54662,0.57941,0.27357,1.76917,1.62178,1.76944,0.000698292,0.000698292,0.000698292
6,119.766,1.20768,1.44551,1.34536,0.672,0.50862,0.55535,0.25649,1.88951,1.59754,1.84742,0.000694365,0.000694365,0.000694365
7,138.845,1.17092,1.38032,1.32992,0.68014,0.52095,0.55375,0.25282,1.89179,1.65332,1.88091,0.000690438,0.000690438,0.000690438
8,157.303,1.16438,1.3436,1.32615,0.7224,0.54731,0.59522,0.2685,1.91255,1.54002,1.8873,0.000686511,0.000686511,0.000686511
9,174.008,1.14237,1.29294,1.30915,0.7679,0.53558,0.61226,0.30284,1.77213,1.47109,1.71759,0.000682584,0.000682584,0.000682584
10,190.674,1.13037,1.25337,1.29223,0.76523,0.54791,0.63401,0.2805,1.86263,1.42159,1.83158,0.000678657,0.000678657,0.000678657
11,207.278,1.11361,1.22835,1.2868,0.74575,0.5977,0.63803,0.30226,1.77573,1.35971,1.74444,0.00067473,0.00067473,0.00067473
12,223.874,1.10522,1.19332,1.27715,0.77573,0.58787,0.64947,0.32905,1.75886,1.28855,1.72296,0.000670803,0.000670803,0.000670803
13,240.445,1.09768,1.17657,1.26804,0.80004,0.58204,0.64413,0.31279,1.80242,1.35929,1.78903,0.000666876,0.000666876,0.000666876
14,257.335,1.09141,1.16445,1.26133,0.73876,0.60657,0.65053,0.32221,1.7479,1.29448,1.72882,0.000662949,0.000662949,0.000662949
15,274.084,1.08146,1.13022,1.25475,0.7892,0.59724,0.66437,0.33306,1.75421,1.29514,1.74155,0.000659022,0.000659022,0.000659022
16,290.69,1.07287,1.11114,1.24756,0.78684,0.59308,0.65585,0.29229,1.87204,1.32828,1.88513,0.000655095,0.000655095,0.000655095
17,307.242,1.06081,1.09536,1.23863,0.79137,0.5962,0.6638,0.34982,1.67656,1.26109,1.67424,0.000651168,0.000651168,0.000651168
18,323.976,1.06799,1.08622,1.24486,0.74059,0.62023,0.66177,0.34412,1.67657,1.21682,1.65614,0.000647241,0.000647241,0.000647241
