epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,110.724,1.4183,1.90389,1.47463,0.68587,0.45654,0.53746,0.26268,1.70252,1.55597,1.57548,0.00995455,0.00331818,0.00995455,0.00331818,0.00995455,0.00331818,0.00995455,0.00331818
2,194.028,1.30265,1.36581,1.36154,0.56735,0.48168,0.49373,0.23594,1.82605,1.54538,1.69405,0.0198981,0.0066327,0.0198981,0.0066327,0.0198981,0.0066327,0.0198981,0.0066327
3,271.459,1.36351,1.46853,1.40084,0.45381,0.4086,0.36948,0.16,1.96441,2.34625,1.88216,0.0297851,0.00992836,0.0297851,0.00992836,0.0297851,0.00992836,0.0297851,0.00992836
4,347.506,1.39779,1.5443,1.44278,0.57838,0.40845,0.41436,0.17919,2.05047,2.10404,2.0164,0.0297454,0.00991514,0.0297454,0.00991514,0.0297454,0.00991514,0.0297454,0.00991514
5,425.788,1.36925,1.48556,1.43122,0.64842,0.45919,0.483,0.21427,2.01123,1.72021,1.9244,0.0296606,0.00988686,0.0296606,0.00988686,0.0296606,0.00988686,0.0296606,0.00988686
6,503.777,1.34155,1.42065,1.41073,0.64026,0.48682,0.52513,0.23944,1.89037,1.77461,1.79521,0.0295757,0.00985857,0.0295757,0.00985857,0.0295757,0.00985857,0.0295757,0.00985857
7,577.999,1.33307,1.36451,1.39259,0.6622,0.53045,0.56709,0.27746,1.76057,1.57192,1.72217,0.0294909,0.00983029,0.0294909,0.00983029,0.0294909,0.00983029,0.0294909,0.00983029
8,652.212,1.30543,1.31678,1.38305,0.67949,0.44446,0.50434,0.24878,1.91399,1.61792,1.81136,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
9,725.999,1.28181,1.26142,1.3652,0.65803,0.53256,0.56413,0.28094,1.79365,1.36125,1.72569,0.0293211,0.00977371,0.0293211,0.00977371,0.0293211,0.00977371,0.0293211,0.00977371
10,800.255,1.26916,1.23048,1.35412,0.75439,0.54623,0.60474,0.29927,1.7966,1.31524,1.71777,0.0292363,0.00974543,0.0292363,0.00974543,0.0292363,0.00974543,0.0292363,0.00974543
11,873.63,1.23936,1.19394,1.33711,0.72935,0.57915,0.60941,0.29086,1.81033,1.33181,1.72778,0.0291514,0.00971714,0.0291514,0.00971714,0.0291514,0.00971714,0.0291514,0.00971714
12,948.505,1.22727,1.16271,1.33021,0.733,0.56402,0.60472,0.29512,1.85021,1.26697,1.72702,0.0290666,0.00968886,0.0290666,0.00968886,0.0290666,0.00968886,0.0290666,0.00968886
13,1024.47,1.21505,1.12926,1.31746,0.81092,0.54719,0.62747,0.31911,1.7528,1.20943,1.66304,0.0289817,0.00966057,0.0289817,0.00966057,0.0289817,0.00966057,0.0289817,0.00966057
14,1098.15,1.20921,1.12055,1.31319,0.77598,0.58855,0.65145,0.33048,1.73353,1.1297,1.65356,0.0288969,0.00963229,0.0288969,0.00963229,0.0288969,0.00963229,0.0288969,0.00963229
15,1174.39,1.19416,1.07736,1.2971,0.76637,0.55636,0.6067,0.29178,1.80897,1.20091,1.7133,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
16,1246.41,1.17904,1.06938,1.28853,0.70872,0.60528,0.62811,0.31164,1.79014,1.15092,1.6839,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
